22:09:39.094 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-580] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:09:46.145 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-580] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:09:46.145 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-580] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1972b52: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:09:46.147 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-581] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:09:53.205 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-581] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:09:53.205 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-581] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1603bdc: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:09:53.206 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-582] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:10:00.290 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-582] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:10:00.290 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-582] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1bbbb27: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:10:00.291 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-583] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:10:07.348 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-583] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:10:07.348 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-583] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@ad682b: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:10:07.348 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-584] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:10:14.399 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-584] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:10:14.399 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-584] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@c07e37: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:10:14.400 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-585] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:10:21.455 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-585] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:10:21.455 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-585] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1df5d0a: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:10:21.455 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-586] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:10:28.503 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-586] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:10:28.503 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-586] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@19ad53f: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:10:28.503 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-587] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
22:10:35.564 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-587] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection refused: connect
22:10:35.564 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-587] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@12fc47f: tags=[{}], channel=null, acknowledgeMode=AUTO local queue size=0
22:10:35.565 [springCloudBus.anonymous.24hdWCWnSsGl_0ToZoc33g-588] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [localhost:5672]
